Date,coach,block,start_per,end_per,kwh,percent_used,miles_travelled,TAVG,TMAX,TMIN,tempdif,day_of_week,day,month,year
2019-04-08,7505,7774,100,34,1.883731,66,126.8,58,65,49,16,0,8,4,2019
2019-04-09,7505,7774,100,35,1.883731,65,127,49,55,45,10,1,9,4,2019
2019-04-09,7504,7773,100,58,1.794333,42,84,49,55,45,10,1,9,4,2019
2019-04-10,7505,7774,100,37,1.794333,63,128,53,61,45,16,2,10,4,2019
2019-04-10,7504,7772,100,58,1.883731,42,81,53,61,45,16,2,10,4,2019
2019-04-10,7501,7772,100,75,1.634058,25,55,53,61,45,16,2,10,4,2019
2019-04-11,7505,7774,100,26,2.105185,74,127,49,54,44,10,3,11,4,2019
2019-04-11,7501,7772,100,28,2.192128,72,118.9,49,54,44,10,3,11,4,2019
2019-04-11,7504,7773,100,59,1.427742,41,106.6,49,54,44,10,3,11,4,2019
2019-04-12,7504,7772,100,37,1.883731,63,120.1,53,63,41,22,4,12,4,2019
2019-04-12,7505,7774,100,31,1.947045,69,127.3,53,63,41,22,4,12,4,2019
2019-04-12,7501,7773,100,53,2.023659,47,83.6,53,63,41,22,4,12,4,2019
2019-04-15,7505,7772,100,42,1.719474,58,119.3,49,58,44,14,0,15,4,2019
2019-04-15,7504,7774,100,32,1.947045,68,127.1,49,58,44,14,0,15,4,2019
2019-04-15,7501,7773,100,54,1.947045,46,83.7,49,58,44,14,0,15,4,2019
2019-04-16,7505,7772,100,35,1.947045,65,119.1,49,56,44,12,1,16,4,2019
2019-04-16,7504,7774,100,37,1.794333,63,129,49,56,44,12,1,16,4,2019
2019-04-17,7505,7772,100,41,1.794333,59,120.1,58,67,49,18,2,17,4,2019
2019-04-17,7504,7774,100,42,1.634058,58,126.8,58,67,49,18,2,17,4,2019
2019-04-17,7501,7773,100,51,2.105185,49,83.6,58,67,49,18,2,17,4,2019
2019-04-18,7505,7772,100,40,1.794333,60,119,65,75,57,18,3,18,4,2019
2019-04-18,7504,7774,100,30,1.947045,70,127.1,65,75,57,18,3,18,4,2019
2019-04-18,7501,7773,100,47,2.298333,53,83.2,65,75,57,18,3,18,4,2019
2019-04-19,7505,7772,100,47,1.634058,53,119,63,73,47,26,4,19,4,2019
2019-04-19,7504,7774,100,30,1.947045,70,128,63,73,47,26,4,19,4,2019
2019-04-19,7501,7773,100,53,2.023659,47,83.6,63,73,47,26,4,19,4,2019
2019-04-22,7505,7772,100,47,2.105185,53,92,65,74,53,21,0,22,4,2019
2019-04-22,7504,7774,100,30,2.023659,70,126.6,65,74,53,21,0,22,4,2019
2019-04-22,7501,7773,100,49,2.023659,51,91.1,65,74,53,21,0,22,4,2019
2019-04-23,7505,7772,100,11,2.105185,89,154.8,71,79,63,16,1,23,4,2019
2019-04-23,7504,7774,100,33,1.883731,67,126.9,71,79,63,16,1,23,4,2019
2019-04-23,7501,7773,97,47,2.105185,50,84.8,71,79,63,16,1,23,4,2019
2019-04-24,7505,7772,100,27,2.192128,73,119,75,82,69,13,2,24,4,2019
2019-04-24,7504,7774,100,31,1.947045,69,129,75,82,69,13,2,24,4,2019
2019-04-24,7501,7773,100,48,2.192128,52,84,75,82,69,13,2,24,4,2019
2019-04-29,7505,7772,100,38,1.883731,62,119,53,63,44,19,0,29,4,2019
2019-04-29,7504,7774,100,32,1.883731,68,129,53,63,44,19,0,29,4,2019
2019-04-29,7501,7773,100,53,2.023659,47,84,53,63,44,19,0,29,4,2019
2019-04-30,7505,7772,100,33,2.023659,67,119,52,61,47,14,1,30,4,2019
2019-04-30,7504,7774,100,33,1.883731,67,128,52,61,47,14,1,30,4,2019
2019-04-30,7501,7773,100,52,2.023659,48,84,52,61,47,14,1,30,4,2019
2019-05-01,7505,7772,100,35,1.947045,65,119,58,68,49,19,2,1,5,2019
2019-05-01,7501,7774,100,42,1.947045,58,106,58,68,49,19,2,1,5,2019
2019-05-01,7503,7773,96,47,2.105185,49,84,58,68,49,19,2,1,5,2019
2019-05-02,7505,7772,100,36,1.947045,64,119,62,70,54,16,3,2,5,2019
2019-05-02,7503,7774,100,31,1.947045,69,129,62,70,54,16,3,2,5,2019
2019-05-02,7504,7773,100,53,2.023659,47,84,62,70,54,16,3,2,5,2019
2019-05-03,7505,7772,100,31,2.105185,69,119,64,72,55,17,4,3,5,2019
2019-05-03,7503,7774,100,30,1.947045,70,128,64,72,55,17,4,3,5,2019
2019-05-03,7501,7773,100,49,2.192128,51,84,64,72,55,17,4,3,5,2019
2019-05-06,7501,7772,100,36,2.192128,64,106.2,51,60,45,15,0,6,5,2019
2019-05-06,7502,7771,100,13,2.023659,87,157.2,51,60,45,15,0,6,5,2019
2019-05-06,7503,7774,100,34,1.883731,66,126.8,51,60,45,15,0,6,5,2019
2019-05-06,7504,7773,98,52,1.947045,46,84.3,51,60,45,15,0,6,5,2019
2019-05-07,7502,7771,100,12,2.023659,88,158.3,54,64,46,18,1,7,5,2019
2019-05-07,7501,7772,100,37,1.883731,63,120.3,54,64,46,18,1,7,5,2019
2019-05-07,7504,7774,100,40,1.719474,60,128,54,64,46,18,1,7,5,2019
2019-05-07,7503,7773,100,52,2.023659,48,84,54,64,46,18,1,7,5,2019
2019-05-08,7503,7771,100,16,1.883731,84,159,56,69,46,23,2,8,5,2019
2019-05-08,7504,7774,100,38,1.719474,62,128,56,69,46,23,2,8,5,2019
2019-05-08,7501,7773,81,29,2.192128,52,84,56,69,46,23,2,8,5,2019
2019-05-09,7503,7771,100,22,1.794333,78,159,53,62,48,14,3,9,5,2019
2019-05-09,7501,7772,100,40,1.794333,60,120,53,62,48,14,3,9,5,2019
2019-05-09,7504,7774,100,32,1.883731,68,129,53,62,48,14,3,9,5,2019
2019-05-09,7505,7773,100,52,2.023659,48,85,53,62,48,14,3,9,5,2019
2019-05-10,7503,7771,100,17,1.883731,83,158,57,69,47,22,4,10,5,2019
2019-05-10,7501,7772,100,40,1.794333,60,120,57,69,47,22,4,10,5,2019
2019-05-10,7504,7774,100,28,2.023659,72,128,57,69,47,22,4,10,5,2019
2019-05-10,7502,7773,96,45,2.192128,51,85,57,69,47,22,4,10,5,2019
2019-05-13,7503,7771,100,11,2.023659,89,158,61,72,46,26,0,13,5,2019
2019-05-13,7501,7772,100,41,1.794333,59,120,61,72,46,26,0,13,5,2019
2019-05-13,7504,7774,100,26,2.105185,74,128,61,72,46,26,0,13,5,2019
2019-05-13,7502,7773,94,41,2.298333,53,84,61,72,46,26,0,13,5,2019
2019-05-14,7503,7771,100,20,1.794333,80,158,53,61,46,15,1,14,5,2019
2019-05-14,7502,7772,100,42,1.719474,58,120,53,61,46,15,1,14,5,2019
2019-05-14,7504,7774,100,40,1.719474,60,128,53,61,46,15,1,14,5,2019
2019-05-14,7501,7773,100,52,2.023659,48,84,53,61,46,15,1,14,5,2019
2019-05-15,7503,7771,100,18,1.883731,82,158,53,60,46,14,2,15,5,2019
2019-05-15,7502,7772,100,40,1.794333,60,119,53,60,46,14,2,15,5,2019
2019-05-15,7504,7774,100,37,1.794333,63,128,53,60,46,14,2,15,5,2019
2019-05-15,7501,7773,100,57,1.794333,43,85,53,60,46,14,2,15,5,2019
2019-05-16,7503,7771,100,18,1.883731,82,158,46,50,44,6,3,16,5,2019
2019-05-16,7504,7774,100,65,1.634058,35,79,46,50,44,6,3,16,5,2019
2019-05-16,7501,7773,100,59,1.794333,41,84,46,50,44,6,3,16,5,2019
2019-05-17,7503,7771,100,12,2.023659,88,158,47,55,43,12,4,17,5,2019
2019-05-17,7502,7772,99,35,1.947045,64,119,47,55,43,12,4,17,5,2019
2019-05-17,7504,7774,99,62,1.719474,37,79,47,55,43,12,4,17,5,2019
2019-05-17,7501,7773,99,54,1.883731,45,85,47,55,43,12,4,17,5,2019
2019-05-20,7503,7771,99,13,1.947045,86,159,49,57,43,14,0,20,5,2019
2019-05-20,7502,7772,100,31,2.105185,69,119,49,57,43,14,0,20,5,2019
2019-05-20,7505,7774,99,26,2.023659,73,129,49,57,43,14,0,20,5,2019
2019-05-20,,7773,99,53,1.883731,46,87,49,57,43,14,0,20,5,2019
2019-05-21,7503,7771,99,19,1.794333,80,158,46,48,44,4,1,21,5,2019
2019-05-21,7502,7772,99,41,1.794333,58,119,46,48,44,4,1,21,5,2019
2019-05-21,7501,7774,99,34,1.794333,65,128,46,48,44,4,1,21,5,2019
2019-05-21,7504,7773,98,56,1.794333,42,85,46,48,44,4,1,21,5,2019
2019-05-22,7505,7771,100,16,1.883731,84,159,53,62,45,17,2,22,5,2019
2019-05-22,7503,7772,100,31,2.105185,69,119,53,62,45,17,2,22,5,2019
2019-05-22,7502,7774,99,37,1.794333,62,126,53,62,45,17,2,22,5,2019
2019-05-22,7501,7773,100,54,1.947045,46,85,53,62,45,17,2,22,5,2019
2019-05-23,7503,7771,100,20,1.794333,80,159,56,66,49,17,3,23,5,2019
2019-05-23,7504,7772,100,34,1.947045,66,120,56,66,49,17,3,23,5,2019
2019-05-23,7505,7774,100,31,1.947045,69,127,56,66,49,17,3,23,5,2019
2019-05-23,7502,7773,99,53,1.947045,46,84,56,66,49,17,3,23,5,2019
2019-05-24,7503,7771,100,17,1.883731,83,157,57,67,48,19,4,24,5,2019
2019-05-24,7504,7772,100,35,1.947045,65,119,57,67,48,19,4,24,5,2019
2019-05-24,7505,7774,100,28,2.023659,72,128,57,67,48,19,4,24,5,2019
2019-05-24,7501,7773,100,60,1.719474,40,85,57,67,48,19,4,24,5,2019
2019-05-28,7502,7771,100,18,1.883731,82,157,57,67,46,21,1,28,5,2019
2019-05-28,7503,7772,100,46,1.634058,54,119,57,67,46,21,1,28,5,2019
2019-05-28,7504,7774,100,38,1.794333,62,127,57,67,46,21,1,28,5,2019
2019-05-29,7503,7771,100,21,1.794333,79,159,62,72,47,25,2,29,5,2019
2019-05-29,7502,7772,100,39,1.883731,61,119,62,72,47,25,2,29,5,2019
2019-05-29,7504,7774,100,36,1.794333,64,129,62,72,47,25,2,29,5,2019
2019-05-29,7505,7773,98,50,2.023659,48,84,62,72,47,25,2,29,5,2019
2019-05-30,7504,7771,100,25,1.719474,75,158,54,65,45,20,3,30,5,2019
2019-05-30,7502,7772,100,36,1.947045,64,119,54,65,45,20,3,30,5,2019
2019-05-30,7505,7774,100,38,1.719474,62,129,54,65,45,20,3,30,5,2019
2019-05-30,7503,7773,99,53,1.947045,46,84,54,65,45,20,3,30,5,2019
2019-05-31,7504,7771,99,21,1.794333,78,158,65,74,50,24,4,31,5,2019
2019-05-31,7502,7772,100,31,2.105185,69,119,65,74,50,24,4,31,5,2019
2019-05-31,7505,7774,100,29,1.947045,71,129,65,74,50,24,4,31,5,2019
2019-05-31,7503,7773,100,50,2.105185,50,85,65,74,50,24,4,31,5,2019
2019-06-03,7502,7771,100,17,1.883731,83,159,68,76,53,23,0,3,6,2019
2019-06-03,7503,7772,100,37,1.883731,63,119,68,76,53,23,0,3,6,2019
2019-06-03,7504,7773,98,50,2.023659,48,85,68,76,53,23,0,3,6,2019
2019-06-04,7503,7771,100,10,2.023659,90,158,75,83,65,18,1,4,6,2019
2019-06-04,7502,7772,100,40,1.947045,60,112,75,83,65,18,1,4,6,2019
2019-06-04,7504,7774,98,27,1.947045,71,129,75,83,65,18,1,4,6,2019
2019-06-05,7502,7771,100,7,2.298333,93,149,75,85,60,25,2,5,6,2019
2019-06-05,7503,7772,100,29,2.192128,71,119,75,85,60,25,2,5,6,2019
2019-06-05,7504,7774,100,33,1.883731,67,129,75,85,60,25,2,5,6,2019
2019-06-06,7503,7771,100,21,1.794333,79,158,60,67,49,18,3,6,6,2019
2019-06-06,7502,7772,100,29,2.192128,71,119,60,67,49,18,3,6,6,2019
2019-06-06,7504,7773,98,51,2.023659,47,85,60,67,49,18,3,6,6,2019
2019-06-07,7503,7771,100,19,1.883731,81,158,58,69,44,25,4,7,6,2019
2019-06-07,7502,7772,100,44,1.719474,56,120,58,69,44,25,4,7,6,2019
2019-06-07,7504,7773,98,50,2.023659,48,85,58,69,44,25,4,7,6,2019
2019-06-10,7503,7771,100,9,2.023659,91,159,84,94,76,18,0,10,6,2019
2019-06-10,7502,7772,100,20,2.4085,80,119,84,94,76,18,0,10,6,2019
2019-06-10,7504,7774,100,15,2.4085,85,129,84,94,76,18,0,10,6,2019
2019-06-11,7502,7771,100,6,2.13,94,159,86,96,76,20,1,11,6,2019
2019-06-11,7503,7772,100,23,2.33,77,119,86,96,76,20,1,11,6,2019
2019-06-12,7502,7771,100,10,2.04,90,159,80,90,65,25,2,12,6,2019
2019-06-12,7504,7774,100,29,1.82,71,129,80,90,65,25,2,12,6,2019
2019-06-12,7503,7773,100,42,2.46,58,85,80,90,65,25,2,12,6,2019
2019-06-13,7502,7771,100,21,1.79,79,159,69,79,61,18,3,13,6,2019
2019-06-13,7505,7773,97,47,2.14,50,84,69,79,61,18,3,13,6,2019
2019-06-14,7503,7772,100,45,1.66,55,119,62,75,50,25,4,14,6,2019
2019-06-14,7502,7773,100,55,1.89,45,85,62,75,50,25,4,14,6,2019
2019-06-17,7503,7771,100,10,2.03,90,160,71,79,62,17,0,17,6,2019
2019-06-17,7502,7772,99,42,2.18,57,94,71,79,62,17,0,17,6,2019
2019-06-17,7505,7774,100,30,1.81,70,127,71,79,62,17,0,17,6,2019
2019-06-18,7502,7772,100,30,2.12,70,119,75,83,65,18,1,18,6,2019
2019-06-18,7505,7774,100,33,1.93,67,129,75,83,65,18,1,18,6,2019
2019-06-18,7501,7773,96,46,2.07,50,87,75,83,65,18,1,18,6,2019
2019-06-19,7502,7771,100,18,1.94,82,159,73,80,63,17,2,19,6,2019
2019-06-19,7501,7772,100,35,1.83,65,119,73,80,63,17,2,19,6,2019
2019-06-19,7505,7774,100,37,1.76,63,129,73,80,63,17,2,19,6,2019
2019-06-20,7503,7771,100,18,1.94,82,159,63,73,51,22,3,20,6,2019
2019-06-20,7502,7772,100,28,2.18,72,119,63,73,51,22,3,20,6,2019
2019-06-20,7505,7774,100,46,1.85,54,100,63,73,51,22,3,20,6,2019
2019-06-20,7501,7773,100,50,2.12,50,85,63,73,51,22,3,20,6,2019
2019-06-21,7502,7772,100,33,2.03,67,119,64,73,49,24,4,21,6,2019
2019-06-21,7505,7774,100,37,1.76,63,129,64,73,49,24,4,21,6,2019
2019-06-24,7503,7771,100,16,1.89,84,159,75,84,66,18,0,24,6,2019
2019-06-24,7502,7772,100,44,1.69,56,119,75,84,66,18,0,24,6,2019
2019-06-24,7505,7774,100,30,1.84,70,129,75,84,66,18,0,24,6,2019
2019-06-24,7501,7773,100,50,2.12,50,85,75,84,66,18,0,24,6,2019
2019-06-25,7502,7771,100,19,1.96,81,159,67,76,56,20,1,25,6,2019
2019-06-25,7503,7772,100,45,1.66,55,119,67,76,56,20,1,25,6,2019
2019-06-25,7505,7774,100,19,2.26,81,129,67,76,56,20,1,25,6,2019
2019-06-26,7502,7771,100,19,1.96,81,159,58,68,51,17,2,26,6,2019
2019-06-26,7505,7772,100,23,2.33,77,119,58,68,51,17,2,26,6,2019
2019-06-26,7501,7774,100,34,1.95,66,129,58,68,51,17,2,26,6,2019
2019-06-26,7503,7773,100,55,1.89,45,85,58,68,51,17,2,26,6,2019
2019-06-27,7502,7771,100,14,1.85,86,159,57,68,49,19,3,27,6,2019
2019-06-27,7501,7772,100,27,2.21,73,119,57,68,49,19,3,27,6,2019
2019-06-27,7505,7774,100,29,1.82,71,129,57,68,49,19,3,27,6,2019
2019-06-27,7503,7773,100,55,1.89,45,85,57,68,49,19,3,27,6,2019
2019-06-28,7502,7771,100,17,1.92,83,159,62,74,52,22,4,28,6,2019
2019-06-28,7501,7772,100,47,1.6,53,119,62,74,52,22,4,28,6,2019
2019-06-28,7505,7774,100,31,1.87,69,129,62,74,52,22,4,28,6,2019
2019-07-01,,7772,100,78,1.58,22,50,66,74,57,17,0,1,7,2019
2019-07-01,,7772,78,38,2.06,40,70,66,74,57,17,0,1,7,2019
2019-07-01,7505,7774,100,63,1.78,37,75,66,74,57,17,0,1,7,2019
2019-07-01,7505,7774,63,35,1.87,28,54,66,74,57,17,0,1,7,2019
2019-07-02,7505,7771,100,51,2.42,49,73,64,73,55,18,1,2,7,2019
2019-07-02,7505,7771,51,17,2.5,34,49,64,73,55,18,1,2,7,2019
2019-07-02,7503,7772,100,38,1.88,62,119,64,73,55,18,1,2,7,2019
2019-07-02,7503,7772,100,76,1.73,24,50,64,73,55,18,1,2,7,2019
2019-07-02,7503,7772,76,38,1.85,38,74,64,73,55,18,1,2,7,2019
2019-07-02,7501,7774,100,90,1.57,10,23,64,73,55,18,1,2,7,2019
2019-07-02,7501,7774,90,61,1.9,29,55,64,73,55,18,1,2,7,2019
2019-07-02,7501,7774,61,34,1.74,27,56,64,73,55,18,1,2,7,2019
2019-07-02,7502,7773,100,65,1.48,35,85,64,73,55,18,1,2,7,2019
2019-07-03,7503,7772,100,74,1.87,26,50,62,74,52,22,2,3,7,2019
2019-07-03,7503,7772,74,33,2.14,41,69,62,74,52,22,2,3,7,2019
2019-07-03,7502,7774,100,88,1.88,12,23,62,74,52,22,2,3,7,2019
2019-07-03,7502,7774,88,58,2.08,30,52,62,74,52,22,2,3,7,2019
2019-07-03,7502,,58,30,1.87,28,54,62,74,52,22,2,3,7,2019
2019-07-05,7501,7772,100,76,1.73,24,50,72,81,66,15,4,5,7,2019
2019-07-05,7501,7772,76,40,1.88,36,69,72,81,66,15,4,5,7,2019
2019-07-05,7502,7774,100,89,1.72,11,23,72,81,66,15,4,5,7,2019
2019-07-05,7502,7774,89,57,2.22,32,52,72,81,66,15,4,5,7,2019
2019-07-05,7502,7774,57,27,2,30,54,72,81,66,15,4,5,7,2019
2019-07-05,7503,7773,100,58,1.78,42,85,72,81,66,15,4,5,7,2019
2019-07-08,7503,7771,100,45,1.8,55,110,60,70,49,21,0,8,7,2019
2019-07-08,7503,7771,45,16,2.18,29,48,60,70,49,21,0,8,7,2019
2019-07-08,7502,7772,99,73,1.87,26,50,60,70,49,21,0,8,7,2019
2019-07-08,7502,7772,73,34,2.01,39,70,60,70,49,21,0,8,7,2019
2019-07-09,7502,7771,100,44,1.83,56,110,62,73,55,18,1,9,7,2019
2019-07-09,7502,7771,44,15,2.13,29,49,62,73,55,18,1,9,7,2019
2019-07-09,7503,7772,100,73,1.94,27,50,62,73,55,18,1,9,7,2019
2019-07-09,7503,7772,73,38,1.8,35,70,62,73,55,18,1,9,7,2019
2019-07-10,7502,7771,100,46,1.77,54,110,63,75,55,20,2,10,7,2019
2019-07-10,7502,7771,46,19,2.03,27,48,63,75,55,20,2,10,7,2019
2019-07-10,7503,7772,100,78,1.58,22,50,63,75,55,20,2,10,7,2019
2019-07-10,7503,7772,78,44,1.77,34,69,63,75,55,20,2,10,7,2019
2019-07-10,7501,7774,100,91,1.41,9,23,63,75,55,20,2,10,7,2019
2019-07-10,7501,7774,91,62,1.97,29,53,63,75,55,20,2,10,7,2019
2019-07-10,7501,7774,62,31,2.15,31,52,63,75,55,20,2,10,7,2019
2019-07-10,7504,7773,100,48,2.18,52,86,63,75,55,20,2,10,7,2019
2019-07-11,7504,7771,100,47,1.73,53,110,68,78,57,21,3,11,7,2019
2019-07-11,7504,7771,47,18,2.13,29,49,68,78,57,21,3,11,7,2019
2019-07-11,7503,7772,100,76,1.76,24,49,68,78,57,21,3,11,7,2019
2019-07-11,7503,7772,76,45,1.57,31,71,68,78,57,21,3,11,7,2019
2019-07-11,7501,7774,100,91,1.41,9,23,68,78,57,21,3,11,7,2019
2019-07-11,7501,7774,91,60,2.11,31,53,68,78,57,21,3,11,7,2019
2019-07-11,7501,7774,60,30,2.08,30,52,68,78,57,21,3,11,7,2019
2019-07-12,7504,7771,100,47,1.73,53,110,72,82,64,18,4,12,7,2019
2019-07-12,7504,7771,47,16,2.28,31,49,72,82,64,18,4,12,7,2019
2019-07-12,7503,7772,100,75,1.8,25,50,72,82,64,18,4,12,7,2019
2019-07-12,7503,7772,75,36,2.03,39,69,72,82,64,18,4,12,7,2019
2019-07-12,7501,7774,100,90,1.57,10,23,72,82,64,18,4,12,7,2019
2019-07-12,7501,7774,90,60,2.04,30,53,72,82,64,18,4,12,7,2019
2019-07-12,7501,7774,60,30,2.04,30,53,72,82,64,18,4,12,7,2019
2019-07-15,7505,7771,100,43,1.8,57,114,70,82,60,22,0,15,7,2019
2019-07-15,7505,7771,43,12,2.23,31,50,70,82,60,22,0,15,7,2019
2019-07-15,7503,7772,100,78,1.55,22,51,70,82,60,22,0,15,7,2019
2019-07-15,7503,7772,78,38,2.03,40,71,70,82,60,22,0,15,7,2019
2019-07-15,7501,7774,100,89,1.58,11,25,70,82,60,22,0,15,7,2019
2019-07-15,7501,7774,89,56,2.2,33,54,70,82,60,22,0,15,7,2019
2019-07-15,7501,7774,56,23,2.08,33,57,70,82,60,22,0,15,7,2019
2019-07-15,7504,7773,100,50,2.09,50,86,70,82,60,22,0,15,7,2019
2019-07-16,7504,7771,100,42,1.8,58,116,67,78,60,18,1,16,7,2019
2019-07-16,7504,7771,42,15,1.94,27,50,67,78,60,18,1,16,7,2019
2019-07-16,7505,7772,100,81,1.32,19,52,67,78,60,18,1,16,7,2019
2019-07-16,7505,7772,81,38,2.12,43,73,67,78,60,18,1,16,7,2019
2019-07-16,7503,7774,100,89,1.65,11,24,67,78,60,18,1,16,7,2019
2019-07-16,7503,7774,89,55,2.35,34,52,67,78,60,18,1,16,7,2019
2019-07-16,7503,7774,55,26,1.97,29,53,67,78,60,18,1,16,7,2019
2019-07-17,7501,7772,100,55,2.1,45,77,71,83,59,24,2,17,7,2019
2019-07-18,7503,7772,100,79,1.51,21,50,71,79,61,18,3,18,7,2019
2019-07-18,7503,7772,79,36,2.24,43,69,71,79,61,18,3,18,7,2019
2019-07-19,7501,7771,100,47,1.73,53,110,68,79,57,22,4,19,7,2019
2019-07-19,7501,7771,47,18,2.09,29,50,68,79,57,22,4,19,7,2019
2019-07-22,7503,7771,100,46,1.77,54,110,76,86,70,16,0,22,7,2019
2019-07-22,7503,7771,46,15,2.28,31,49,76,86,70,16,0,22,7,2019
2019-07-22,7501,7772,100,78,1.58,22,50,76,86,70,16,0,22,7,2019
2019-07-22,7501,7772,78,30,2.5,48,69,76,86,70,16,0,22,7,2019
2019-07-23,7503,7771,100,46,1.77,54,110,75,83,68,15,1,23,7,2019
2019-07-23,7503,7771,46,18,2.06,28,49,75,83,68,15,1,23,7,2019
2019-07-23,7501,7772,100,78,1.58,22,50,75,83,68,15,1,23,7,2019
